,CWE
0,CWE-674
1,CWE-794
2,CWE-617
3,CWE-532
4,CWE-770
5,CWE-908
6,CWE-330
7,CWE-787
8,"CWE-20
"
9,CWE-770
10,"CWE-20
"
11,"CWE-400
"
12,CWE-19
13,CWE-19
14,CWE-613
15,"CWE-284
"
16,CWE-434
17,CWE-79
18,CWE-404
19,CWE-798
20,CWE-532
21,CWE-798
22,CWE-79
23,CWE-79
24,CWE-79
25,CWE-79
26,CWE-79
27,CWE-404
28,CWE-532
29,CWE-916
30,CWE-770
31,CWE-532
32,CWE-400
33,CWE-798
34,CWE-522
35,CWE-754
36,"CWE-20
"
37,CWE-770
38,CWE-307
39,CWE-200
40,CWE-284
41,CWE-305
42,CWE-404
43,CWE-404
44,CWE-400
45,CWE-79
46,CWE-200
47,CWE-404
48,"CWE-20
"
49,CWE-755
50,CWE-436
51,CWE-787
52,CWE-295
53,CWE-130
54,CWE-410
55,"CWE-287
"
56,"CWE-269
"
57,CWE-401
58,CWE-755
59,CWE-657
60,CWE-384
61,"CWE-20
"
62,"CWE-20
"
63,"CWE-20
"
64,CWE-394
65,"CWE-20
"
66,CWE-754
67,CWE-319
68,CWE-20
69,CWE-354
70,CWE-522
71,CWE-281
72,CWE-22
73,"CWE-400
"
74,CWE-732
75,"CWE-264
"
76,CWE-19
77,"CWE-284
"
78,CWE-94
79,CWE-20
80,"CWE-200
"
81,CWE-20
82,CWE-787
83,CWE-20
84,"CWE-264
"
85,"CWE-264
"
86,"CWE-264
"
87,CWE-384
88,"CWE-200
"
89,"CWE-200
"
90,CWE-863
91,"CWE-20
"
92,"CWE-264
"
93,CWE-732
94,"CWE-264
"
95,"CWE-200
"
96,CWE-732
97,"CWE-20
"
98,CWE-119
99,CWE-362
100,CWE-20
101,CWE-125
102,"CWE-200
"
103,CWE-119
104,CWE-522
105,CWE-264
106,CWE-415
107,"CWE-119
"
108,"CWE-119
"
109,"CWE-264
"
110,"CWE-200
"
111,CWE-264
112,CWE-264
113,CWE-79
114,CWE-20
115,"CWE-20
"
116,CWE-276
117,CWE-264
118,"CWE-284
"
119,CWE-732
120,"CWE-269
"
121,CWE-120
122,"CWE-269
"
123,CWE-755
124,CWE-755
125,CWE-120
126,CWE-772
127,CWE-20
128,CWE-772
129,CWE-20
130,"CWE-863
"
131,CWE-119
132,CWE-119
133,CWE-119
134,"CWE-20
"
135,"CWE-269
"
136,CWE-20
137,"CWE-264
"
138,"CWE-269
"
139,CWE-787
140,CWE-787
141,"CWE-200
"
142,CWE-20
143,CWE-264
144,CWE-20
145,CWE-20
146,CWE-20
147,CWE-787
148,CWE-119
149,CWE-732
150,"CWE-264
"
151,"CWE-287
"
152,"CWE-200
"
153,CWE-522
154,"CWE-20
"
155,CWE-522
156,CWE-522
157,CWE-522
158,"CWE-20
"
159,CWE-522
160,CWE-522
161,"CWE-200
"
162,"CWE-200
"
163,CWE-79
164,CWE-502
165,CWE-611
166,CWE-502
167,"CWE-20
"
168,CWE-22
169,CWE-502
170,CWE-94
171,CWE-22
172,CWE-502
173,CWE-416
174,CWE-444
175,CWE-400
176,"CWE-20
"
177,CWE-862
178,CWE-532
179,CWE-476
180,"CWE-20
"
181,CWE-835
182,CWE-22
183,CWE-125
184,CWE-416
185,"CWE-285
"
186,CWE-79
187,"CWE-20
"
188,"CWE-284
"
189,CWE-79
190,CWE-362
191,CWE-79
192,CWE-79
193,CWE-706
194,CWE-79
195,"CWE-94
"
196,"CWE-295
"
197,CWE-79
198,CWE-22
199,CWE-22
200,CWE-918
201,CWE-611
202,CWE-352
203,CWE-915
204,CWE-319
205,CWE-78
206,CWE-281
207,CWE-79
208,CWE-352
209,CWE-79
210,"CWE-20
"
211,"CWE-284
"
212,CWE-862
213,CWE-79
214,CWE-79
215,CWE-306
216,CWE-94
217,"CWE-200
"
218,"CWE-200
"
219,CWE-79
220,CWE-79
221,CWE-20
222,"CWE-200
"
223,CWE-862
224,CWE-862
225,CWE-434
226,CWE-306
227,CWE-79
228,CWE-611
229,CWE-532
230,CWE-352
231,CWE-91
232,CWE-79
233,CWE-862
234,CWE-20
235,"CWE-399
"
236,CWE-79
237,CWE-863
238,CWE-611
239,"CWE-200
"
240,CWE-862
241,CWE-862
242,CWE-79
243,CWE-287
244,CWE-290
245,CWE-611
246,CWE-312
247,"CWE-200
"
248,"CWE-200
"
249,"CWE-200
"
250,CWE-862
251,CWE-79
252,CWE-269
253,CWE-79
254,CWE-74
255,CWE-1021
256,"CWE-200
"
257,CWE-311
258,CWE-79
259,CWE-79
260,CWE-306
261,"CWE-284
"
262,"CWE-200
"
263,CWE-79
264,"CWE-200
"
265,CWE-74
266,CWE-79
267,"CWE-284
"
268,CWE-862
269,CWE-79
270,CWE-434
271,CWE-78
272,CWE-79
273,CWE-94
274,"CWE-200
"
275,CWE-79
276,"CWE-200
"
277,CWE-79
278,CWE-79
279,CWE-79
280,CWE-200
281,CWE-611
282,CWE-732
283,CWE-94
284,CWE-502
285,CWE-918
286,CWE-319
287,CWE-319
288,CWE-862
289,"CWE-20
"
290,"CWE-119
"
291,CWE-200
292,"CWE-200
"
293,CWE-94
294,"CWE-200
"
295,"CWE-269
"
296,CWE-79
297,"CWE-20
"
298,"CWE-20
"
299,"CWE-400
"
300,CWE-862
301,CWE-79
302,CWE-79
303,CWE-91
304,CWE-79
305,CWE-79
306,CWE-79
307,CWE-79
308,CWE-79
309,CWE-306
310,CWE-532
311,CWE-552
312,CWE-79
313,CWE-863
314,CWE-863
315,CWE-79
316,CWE-862
317,CWE-290
318,"CWE-269
"
319,CWE-200
320,"CWE-200
"
321,CWE-89
322,CWE-79
323,CWE-20
324,CWE-352
325,"CWE-200
"
326,"CWE-200
"
327,CWE-1236
328,CWE-209
329,CWE-200
330,"CWE-200
"
331,"CWE-200
"
332,"CWE-119
"
333,CWE-787
334,CWE-601
335,CWE-77
336,CWE-20
337,CWE-287
338,CWE-200
339,"CWE-119
"
340,CWE-787
341,CWE-19
342,"CWE-200
"
343,CWE-20
344,CWE-20
345,CWE-863
346,"CWE-200
"
347,"CWE-200
"
348,CWE-862
349,CWE-79
350,CWE-79
351,CWE-79
352,"CWE-200
"
353,"CWE-200
"
354,"CWE-200
"
355,"CWE-264
"
356,CWE-19
357,CWE-787
358,CWE-862
359,CWE-787
360,CWE-787
361,"CWE-200
"
362,CWE-416
363,CWE-706
364,CWE-59
365,CWE-862
366,CWE-59
367,"CWE-119
"
368,"CWE-119
"
369,"CWE-119
"
370,"CWE-119
"
371,"CWE-119
"
372,"CWE-119
"
373,"CWE-119
"
374,"CWE-119
"
375,"CWE-119
"
376,"CWE-119
"
