,Countermeasures,Attacks
0,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]"
1,"[([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],)]","[([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.2, 1700, 70, 2]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.2, 1700, 70, 2]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.2, 1700, 70, 2]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.2, 1700, 70, 2]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3])]"
2,"[([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],)]","[([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.2, 1700, 70, 2]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.2, 1700, 70, 2]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.2, 1700, 70, 2]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.2, 1700, 70, 2]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3])]"
3,"[([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],)]","[([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.2, 1700, 70, 2]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.2, 1700, 70, 2]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.2, 1700, 70, 2]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3])]"
4,"[([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],)]","[([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.2, 1700, 70, 2]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3])]"
5,"[([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],)]","[([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3])]"
6,"[([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],)]","[([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3])]"
7,"[([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],)]","[([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3])]"
8,"[([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],)]","[([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3])]"
9,"[([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],)]","[([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3])]"
